Department for Transport statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electric Vehicle Charging Device Statistics (https://www.gov.uk/government/statistics/electric-vehicle-charging-device-statistics-july-2021),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCD_01a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Publicly available electric vehicle charging devices at all speeds by local authority, from October 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA / Region Code,Local Authority / Region Name,Jul-21,,Apr-21,,Jan-21,,Oct-20,,Jul-20,,Apr-20,,Jan-20,,Oct-19,,,,,,,,,,,,,
,,Total devices,"per 100,000 population",Total devices,"per 100,000 population",Total devices,"per 100,000 population",Total devices,"per 100,000 population",Total devices,"per 100,000 population",Total devices,"per 100,000 population",Total devices,"per 100,000 population",Total devices,"per 100,000 population",,,,,,,,,,,,
E10000018,Leicestershire,204,28.6,161,22.8,145,20.5,140,19.8,132,18.7,125,17.9,112,16.0,105,15.0,,,,,,,,,,,,
E07000129,Blaby,34,33.3,26,25.6,26,25.6,22,21.7,21,20.7,23,22.9,23,22.9,23,22.9,,,,,,,,,,,,
E07000130,Charnwood,41,21.8,37,19.9,33,17.8,33,17.8,34,18.3,26,14.2,25,13.7,24,13.1,,,,,,,,,,,,
E07000131,Harborough,32,33.5,32,34.1,32,34.1,32,34.1,29,30.9,28,30.3,23,24.9,17,18.4,,,,,,,,,,,,
E07000132,Hinckley and Bosworth,40,35.2,26,23.0,25,22.1,25,22.1,22,19.4,22,19.6,20,17.8,20,17.8,,,,,,,,,,,,
E07000133,Melton,8,15.6,8,15.6,8,15.6,7,13.7,7,13.7,7,13.7,4,7.8,4,7.8,,,,,,,,,,,,
E07000134,North West Leicestershire,24,22.9,22,21.2,16,15.4,16,15.4,16,15.4,16,15.7,16,15.7,16,15.7,,,,,,,,,,,,
E07000135,Oadby and Wigston,25,43.6,10,17.5,5,8.8,5,8.8,3,5.3,3,5.3,1,1.8,1,1.8,,,,,,,,,,,,
E10000019,Lincolnshire,209,27.3,212,27.8,198,26.0,183,24.0,160,21.0,151,20.0,140,18.5,116,15.3,,,,,,,,,,,,
E07000136,Boston,39,55.1,39,55.6,30,42.8,28,39.9,10,14.3,10,14.4,10,14.4,6,8.6,,,,,,,,,,,,
E07000137,East Lindsey,48,33.8,47,33.2,47,33.2,47,33.2,46,32.5,41,29.1,36,25.6,33,23.4,,,,,,,,,,,,
E07000138,Lincoln,60,60.0,49,49.3,49,49.3,37,37.3,37,37.3,36,36.3,34,34.3,30,30.3,,,,,,,,,,,,
E07000139,North Kesteven,14,11.8,12,10.3,12,10.3,13,11.1,13,11.1,13,11.2,11,9.5,9,7.8,,,,,,,,,,,,
E07000140,South Holland,11,11.5,12,12.6,10,10.5,10,10.5,10,10.5,10,10.6,10,10.6,6,6.4,,,,,,,,,,,,
